 FDIC Cert, Institution Name, Bank Holding Company, Total Assets, Cash and due from depository institutions, Interest-Bearing bank balances, Loan Loss Allowance, Net Income,  Percent Net Loans Charged-off:Construction & development,  Percent Net Loans Charged-off: Commercial real estate,  Percent Net Loans Charged-off: Multi-family residential,  Percent Net Loans Charged-off: 1-4 family residential,  Percent Net Loans Charged-off: Home equity loans,  All other 1-4 family - Percent of loans charged-off,  Percent Net Loans Charged-off: Commercial and industrial,  Percent Net Loans Charged-off: Loans to individuals,  Percent Net Loans Charged-off: Credit card loans,  Percent Net Loans Charged-off: Other loans to individuals,  Percent Net Loans Charged-off:Coml. RE not secured by RE, Net Loans, All real estate loans,  Farm loans,  Commercial and industrial loans,  Loans to individuals, All Other Loans and Leases,  Noncurrent loans to loans,  Percent Loans Noncurrent: Commercial real estate,  Percent Loans Noncurrent: Multifamily residential,  Percent Loans Noncurrent: 1-4 family residential,  Percent Loans Noncurrent: Home equity loans,  Percent of loans noncurrent - All other family,  Percent Loans noncurrent:Commercial and industrial loans,  Percent Loans Noncurrent: Loans to individuals,  Percent Loans Noncurrent: Credit card loans,  Percent Loans Noncurrent: Other loans to individuals,  Percent Loans Noncurrent:Commercial RE not secured by RE, Tier 1 leverage ratio, Tier 1 Risk-Based ratio, Total risk-based ratio, Yield on Earnings Assets, Efficiency Ratio, Non-Interest Income to Average Assets, Net charge-offs to loans and leases
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
4829,1880 Bank,DELMARVA BANCSHARES INC,374480,51270,48283,1915,4103,0,0,0,0,0,0,0,-0.260579528872212,,-0.260579528872212,0,248606,227217,2593,18633,1850,228,0.224332491088571,0,0,0.125080618367307,0.24362097704834,0.115301211191622,3.75677561315945E-02,0,,0,0,13.5821387334339,NA,20.889918042212,4.14900765912564,60.8185959271168,0.520327772037591,-1.99527996571311E-03
57899,1st Advantage Bank,BANC INVESTORS LLC,112415,13638,12618,830,655,-0.334896182183523,0,0,0,0,0,0,0,,0,,91402,77233,0,14193,114,692,2.71055598924451E-02,0,0,0.193693344696676,0,0.213620439203623,0,0,,0,,10.4096830890214,NA,13.4609501332984,4.87339657677396,83.2862789384529,-9.76243524403351E-02,-0.019477905562457
22039,1st Bank,1ST UNITED BCORP INC,51711,31681,29982,1038,1089,,0,,0,,0,-2.02110936447339,0,,0,,18554,6393,10084,2471,631,13,0,0,,0,,0,0,0,,0,,14.6818923327896,NA,38.3910853304839,4.50411207136883,47.6190476190476,0.392031950603974,-0.252324657726274
16419,1st Bank & Trust,SOUTHEASTERN BANCSHARES INC,159094,9392,1096,1100,4214,0,0,,0,0,0,0.41539739684298,0.406191028255663,,0.406191028255663,,94024,59643,3256,6771,24483,972,6.30749014454665E-02,0,,0.145735648206818,0,0.147313136488823,0,5.71825348200792E-02,,5.71825348200792E-02,,10.4185597633655,NA,20.3212114259493,5.43708367743044,50.5561993047509,1.07570906520119,0.128830562044799
4122,1st Bank in Hominy,,40108,11212,10079,223,349,0,0,,0,,0,-5.31424927371927E-02,1.04315361809597,,1.04315361809597,,18236,7705,1894,5779,3065,16,2.48117449482637,0,,0.835509138381201,,0.835509138381201,6.76587644921267,1.14192495921697,,1.14192495921697,,8.98828700581904,NA,22.6373626373626,4.49775503811214,75.5608028335301,0.598475253917405,0.186712473460156
30367,1st Bank of Sea Isle City,SEA ISLE FINANCIAL CORP MHC,243298,42383,39401,1230,1280,0,0,0,0,0,0,0,0,,0,,168126,168770,0,102,498,0,0.92106040030702,5.66085164144588,0,0.328997240668304,0.419706205656041,0.321551321067354,0,0,,0,,11.0240495251677,NA,20.4206187935751,4.22431467774237,81.3904196693514,0.169732018785305,2.88971573288392E-03
57298,1st Bank Yuma,WESTERN ARIZONA BCORP INC,368404,58996,42900,2981,5148,0,0,0,-2.59221816108044E-02,-0.082443629168556,0,5.99149208124463E-02,0.323676970383557,,0.323676970383557,0,263382,209046,2228,50087,1124,5055,0.136801973536667,7.01599140383035E-02,0,0.782602673315327,2.74471702696138,0,0.28350669834488,0,,0,0,10.169263271301,NA,13.2526094060141,5.24594811699665,61.9554390563565,0.849382603596782,5.30232839990878E-02
32487,1st Cameron State Bank,C&M BANCSHARES INC,52757,13938,12365,250,255,0,0,,0,0,0,0,-0.114810562571757,,-0.114810562571757,,22220,20745,325,437,960,3,0.867823765020027,0,,1.23144932112409,0,1.2702755520813,0,0,,0,,9.88575891316588,NA,27.9850562847171,3.32457953847014,81.6685584562997,0.181072378753218,-4.18672807201172E-03
58485,1st Capital Bank,,645347,52353,35834,6594,7087,0,0,0,0,0,0,-0.11480425873885,0,,0,0,504295,456846,7206,41100,8,5729,0.096302719377399,0,0,0,0,0,1.1970802919708,0,,0,0,10.8967960954937,NA,15.2923329199164,4.19411710433595,62.8168359041935,0.292085185414162,-9.35914286528124E-03
