 FDIC Cert, Institution Name, Bank Holding Company, Total Assets, Cash and due from depository institutions, Interest-Bearing bank balances, Loan Loss Allowance, Net Income,  Percent Net Loans Charged-off:Construction & development,  Percent Net Loans Charged-off: Commercial real estate,  Percent Net Loans Charged-off: Multi-family residential,  Percent Net Loans Charged-off: 1-4 family residential,  Percent Net Loans Charged-off: Home equity loans,  All other 1-4 family - Percent of loans charged-off,  Percent Net Loans Charged-off: Commercial and industrial,  Percent Net Loans Charged-off: Loans to individuals,  Percent Net Loans Charged-off: Credit card loans,  Percent Net Loans Charged-off: Other loans to individuals,  Percent Net Loans Charged-off:Coml. RE not secured by RE, Net Loans, All real estate loans,  Farm loans,  Commercial and industrial loans,  Loans to individuals, All Other Loans and Leases,  Noncurrent loans to loans,  Percent Loans Noncurrent: Commercial real estate,  Percent Loans Noncurrent: Multifamily residential,  Percent Loans Noncurrent: 1-4 family residential,  Percent Loans Noncurrent: Home equity loans,  Percent of loans noncurrent - All other family,  Percent Loans noncurrent:Commercial and industrial loans,  Percent Loans Noncurrent: Loans to individuals,  Percent Loans Noncurrent: Credit card loans,  Percent Loans Noncurrent: Other loans to individuals,  Percent Loans Noncurrent:Commercial RE not secured by RE, Tier 1 leverage ratio, Tier 1 Risk-Based ratio, Total risk-based ratio, Yield on Earnings Assets, Efficiency Ratio, Non-Interest Income to Average Assets, Net charge-offs to loans and leases
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
4829,1880 Bank,DELMARVA BANCSHARES INC,343830,26199,22763,1824,1799,0,0,0,0.195960807838432,0,0.214644759272982,0,-0.170891483907719,,-0.170891483907719,0,250939,215464,5908,23003,2131,6257,2.11067284373108,4.98601732487552,0,0.89499166281616,1.25592417061611,0.861558048159449,0,2.06475832942281,,2.06475832942281,0,13.2322855792684,NA,19.0623231751677,4.14710369552878,63.3096590909091,0.529423043352593,7.68671306274146E-02
57899,1st Advantage Bank,BANC INVESTORS LLC,100617,5372,4321,789,214,-0.611030712333173,0,-0.069164265129683,0,0,0,0,0,,0,,85815,74132,0,11502,107,863,3.11763890813357E-02,0,0,0.196879101647951,0,0.214558169103624,0,0,,0,,10.3813013766465,NA,13.0213267404515,4.58886147886876,84.675615212528,0.17936512629473,-4.58912072446919E-02
22039,1st Bank,1ST UNITED BCORP INC,49045,23525,20429,899,435,,0,,0,,0,-17.9088937093276,0,,0,,23816,6267,14119,3653,676,0,0,0,,0,,0,0,0,,0,,13.3243930265607,NA,26.2276032686108,4.02535611709072,54.1139240506329,0.30168506989699,-2.92487990137033
16419,1st Bank & Trust,SOUTHEASTERN BANCSHARES INC,154512,8608,2035,1143,1923,0,0,,0,0,0,0,0.143140441647904,,0.143140441647904,,87454,57073,3281,4810,22025,1413,8.69054874607797E-02,0,,0,0,0,1.26819126819127,7.26447219069239E-02,,7.26447219069239E-02,,10.1954659225325,NA,20.7811228641172,4.76082983200926,46.4819342569954,0.863607652743451,3.58239699675718E-02
4122,1st Bank in Hominy,,40766,11502,9909,193,148,0,0,,0,,0,0.473214827397925,0.261483482959993,,0.261483482959993,,18662,7152,2002,5913,3783,5,1.79793158313445,0,,1.87336969409533,,1.87336969409533,3.16252325384745,1.66534496431404,,1.66534496431404,,8.70179789212647,NA,20.6423553027768,4.00366484000899,78.239608801956,0.629435966364515,0.224935732647815
30367,1st Bank of Sea Isle City,SEA ISLE FINANCIAL CORP MHC,254205,43602,39513,999,526,0,0,0,0,0,0,0,0,,0,,168839,168940,0,423,513,0,0.965998728484306,4.24689083371718,0,0.520860117101696,0.593752108494704,0.511953833470734,0,1.94931773879142,,1.94931773879142,,10.2406675804241,NA,19.1453412906173,3.80920450295942,84.0749943528349,0.18289967555188,0
57298,1st Bank Yuma,WESTERN ARIZONA BCORP INC,331552,52503,40752,2308,2187,0.485212569316081,0,0,-1.26973377915097E-02,-4.24268137462877E-02,0,0,0.679886685552408,,0.679886685552408,0,228751,195202,2232,28126,1169,5313,0.876134492893528,1.27415515780697,0,0,0,0,0.490649221361018,0,,0,0,9.84373937186567,NA,12.9902575920053,5.05253170866415,63.715077349342,0.91534132005354,4.97767778676134E-02
32487,1st Cameron State Bank,C&M BANCSHARES INC,58547,16865,15927,248,81,0,0,0,0,0,0,0,0.209570380719525,,0.209570380719525,,25422,24028,321,415,903,3,0.825866770549279,0,,1.12970265373548,0,1.14378203398975,0,0,,0,,8.73358731886523,NA,24.0893224738208,3.03946457419802,88.0787037037037,0.173803568543782,7.58571862041064E-03
58485,1st Capital Bank,,609640,51198,39318,6423,2749,0,0,0,0,0,0,-0.109472270673838,0,,0,0,468667,413083,11828,45051,7,5121,4.16763139615652E-02,0,0,0,0,0,0.439501897849104,0,,0,0,9.34642380923373,NA,13.995501470673,3.91067588298441,67.4995721376006,0.328432774546124,-1.10576983327202E-02
