 FDIC Cert, Institution Name, Bank Holding Company, Total Assets, Cash and due from depository institutions, Interest-Bearing bank balances, Loan Loss Allowance, Net Income,  Percent Net Loans Charged-off:Construction & development,  Percent Net Loans Charged-off: Commercial real estate,  Percent Net Loans Charged-off: Multi-family residential,  Percent Net Loans Charged-off: 1-4 family residential,  Percent Net Loans Charged-off: Home equity loans,  All other 1-4 family - Percent of loans charged-off,  Percent Net Loans Charged-off: Commercial and industrial,  Percent Net Loans Charged-off: Loans to individuals,  Percent Net Loans Charged-off: Credit card loans,  Percent Net Loans Charged-off: Other loans to individuals,  Percent Net Loans Charged-off:Coml. RE not secured by RE, Net Loans, All real estate loans,  Farm loans,  Commercial and industrial loans,  Loans to individuals, All Other Loans and Leases,  Noncurrent loans to loans,  Percent Loans Noncurrent: Commercial real estate,  Percent Loans Noncurrent: Multifamily residential,  Percent Loans Noncurrent: 1-4 family residential,  Percent Loans Noncurrent: Home equity loans,  Percent of loans noncurrent - All other family,  Percent Loans noncurrent:Commercial and industrial loans,  Percent Loans Noncurrent: Loans to individuals,  Percent Loans Noncurrent: Credit card loans,  Percent Loans Noncurrent: Other loans to individuals,  Percent Loans Noncurrent:Commercial RE not secured by RE, Tier 1 leverage ratio, Tier 1 Risk-Based ratio, Total risk-based ratio, Yield on Earnings Assets, Efficiency Ratio, Non-Interest Income to Average Assets, Net charge-offs to loans and leases
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
4829,1880 Bank,DELMARVA BANCSHARES INC,387683,68740,65937,1894,950,0,0,0,0,0,0,0,-0.860677783754707,,-0.860677783754707,0,247758,222378,3244,21816,1944,270,1.76726002595613,3.86913654018524,0,0.332621754455642,0.250381014587416,0.340875569491637,0,0,,0,0,12.7691646835907,NA,20.4887967142451,4.16541606995338,65.4603512506653,0.418258007680263,-6.32957712490827E-03
57899,1st Advantage Bank,BANC INVESTORS LLC,106364,6335,5621,849,201,0,0,0,2.52023883658742,0,2.72055043694887,0,0,,0,,91373,76250,0,15120,98,754,2.71084990566242E-02,0,0,0.188451680988994,0,0.20523766521632,0,0,,0,,10.103007828595,NA,12.8567719040097,4.87473817324265,73.0650154798762,0.205066234562815,0.370290635091496
22039,1st Bank,1ST UNITED BCORP INC,47647,26039,24986,1037,291,,0,,0,,0,-7.4792243767313,0,,0,,20092,6497,11465,2422,736,9,0,0,,0,,0,0,0,,0,,14.6115702479339,NA,34.7939365229749,4.41387585438495,43.8223938223938,0.373839370974624,-1.04727272727273
16419,1st Bank & Trust,SOUTHEASTERN BANCSHARES INC,159105,10293,1040,1154,1104,0,0,,0,0,0,1.68878166465621,-0.141746583685854,,-0.141746583685854,,89515,58882,2846,5111,22564,1281,3.08764500904239E-02,0,,0,0,0,0.547837996478184,0,,0,,11.0175510439128,NA,22.0003615111165,5.27257267252116,44.1365660564077,0.946182647961561,5.64962544069795E-02
4122,1st Bank in Hominy,,40351,11589,11103,199,94,0,0,,0,,0,-0.147846978377379,0.811153358681876,,0.811153358681876,,18689,7224,2042,5467,4116,39,0.958280389665396,0,,0,,0,2.98152551673678,0.43731778425656,,0.43731778425656,,8.72585731178557,NA,21.6693697868397,4.41562169709148,74.3529411764706,0.627599432171942,0.128758818637839
30367,1st Bank of Sea Isle City,SEA ISLE FINANCIAL CORP MHC,244466,30019,26402,1230,314,0,0,0,0,0,0,0,0,,0,,174608,175196,0,219,505,0,1.6393815370623,8.74930926505802,0,0.737940964722822,0,0.817099297493897,0,0,,0,,10.928670478348,NA,18.9807042633008,4.24346879940067,82.0966350301985,0.171371486833026,0
57298,1st Bank Yuma,WESTERN ARIZONA BCORP INC,343434,54264,41711,2385,1228,0,0,0,0,0,0,0.233829815737234,0,,0,,249706,204039,2003,40586,1216,5313,0.207381190328531,0,0,0,0,0,0,0,,0,,9.70879052989094,NA,12.4471231773894,5.40879311233353,64.2178046672429,0.811877466641609,4.61639177247556E-02
32487,1st Cameron State Bank,C&M BANCSHARES INC,55934,17901,16948,249,64,0,0,,0,0,0,0,0,,0,,24085,22864,263,431,774,2,0.826004766992685,0,,1.10384974463178,0,1.11828196283521,0,0,,0,,9.60839944341038,NA,26.2683467837085,3.2574305549187,81.7155756207675,0.198507647861612,0
58485,1st Capital Bank,,634428,67548,56436,6560,1776,0,0,0,0,0,0,-0.118747216862105,0,,0,0,476705,426444,9452,42099,0,5270,0,0,0,0,0,0,0,,,,0,9.79128045814003,NA,14.9733323233628,4.32251365021941,63.7360985873159,0.301739057781597,-9.89022876305175E-03
