 FDIC Cert, Institution Name, Bank Holding Company, Total Assets, Cash and due from depository institutions, Interest-Bearing bank balances, Loan Loss Allowance, Net Income,  Percent Net Loans Charged-off:Construction & development,  Percent Net Loans Charged-off: Commercial real estate,  Percent Net Loans Charged-off: Multi-family residential,  Percent Net Loans Charged-off: 1-4 family residential,  Percent Net Loans Charged-off: Home equity loans,  All other 1-4 family - Percent of loans charged-off,  Percent Net Loans Charged-off: Commercial and industrial,  Percent Net Loans Charged-off: Loans to individuals,  Percent Net Loans Charged-off: Credit card loans,  Percent Net Loans Charged-off: Other loans to individuals,  Percent Net Loans Charged-off:Coml. RE not secured by RE, Net Loans, All real estate loans,  Farm loans,  Commercial and industrial loans,  Loans to individuals, All Other Loans and Leases,  Noncurrent loans to loans,  Percent Loans Noncurrent: Commercial real estate,  Percent Loans Noncurrent: Multifamily residential,  Percent Loans Noncurrent: 1-4 family residential,  Percent Loans Noncurrent: Home equity loans,  Percent of loans noncurrent - All other family,  Percent Loans noncurrent:Commercial and industrial loans,  Percent Loans Noncurrent: Loans to individuals,  Percent Loans Noncurrent: Credit card loans,  Percent Loans Noncurrent: Other loans to individuals,  Percent Loans Noncurrent:Commercial RE not secured by RE, Tier 1 leverage ratio, Tier 1 Risk-Based ratio, Total risk-based ratio, Yield on Earnings Assets, Efficiency Ratio, Non-Interest Income to Average Assets, Net charge-offs to loans and leases
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
4829,1880 Bank,DELMARVA BANCSHARES INC,377395,51239,49056,1918,4001,0,0,0,0.098332518861965,1.17461883618766E-02,0.106330575248412,0,-0.139925373134328,,-0.139925373134328,0,253993,225184,3259,25405,1774,289,1.6423678544494,3.80583575362002,0,0.465510779730556,0.219378427787934,0.487181963536469,7.08521944499114E-02,2.48027057497182,,2.48027057497182,0,13.070165311519,NA,19.8833192047472,4.22694517697423,60.9249421059801,0.568575101354692,3.81517086799111E-02
57899,1st Advantage Bank,BANC INVESTORS LLC,112102,10600,9619,875,567,-0.300233866380128,-0.137122162698264,-0.040703353956366,0,0,0,0,0,,0,,92703,77226,0,15445,102,805,2.77843082775866E-02,0,0,0.185277560037056,0,0.198352151357949,0,0,,0,,9.76326295204881,NA,12.5950626579896,4.65539800576695,82.5436408977556,0.125258405221459,-0.104127945253333
22039,1st Bank,1ST UNITED BCORP INC,50791,30202,29126,983,899,,0,,0,,0,-11.6089834002387,0,,0,,19138,5116,10866,3354,784,1,0,0,,0,,0,0,0,,0,,13.7208374875374,NA,35.2198777361467,4.16039462308492,54.1560428352881,0.365299003255577,-1.85557713651498
16419,1st Bank & Trust,SOUTHEASTERN BANCSHARES INC,152040,6654,1026,1141,3912,0,0,,0,0,0,-8.25559316436886E-02,0.249585509778404,,0.249585509778404,,92273,61338,3302,4837,22587,1369,5.35142829621226E-02,0,,0,0,0,1.01302460202605,4.42732545269403E-03,,4.42732545269403E-03,,10.7695199574794,NA,21.0680723178934,4.98220023328318,47.8311993728769,0.904767611690072,5.73885558390648E-02
4122,1st Bank in Hominy,,39955,11722,10636,190,270,0,0,,0.1203021991242,,0.1203021991242,0.200913242009132,1.68076054414623,,1.68076054414623,,18201,7099,2051,5355,3774,112,0.668805393942689,0,,1.88819875776398,,1.88819875776398,0.242763772175537,0.900900900900901,,0.900900900900901,,8.82360332738559,NA,21.3056243163894,4.14391447799791,77.4527726995734,0.606446225120792,0.503399298488719
30367,1st Bank of Sea Isle City,SEA ISLE FINANCIAL CORP MHC,241029,26582,24081,1230,1052,0,0,0,-4.47139869822679E-03,0,-5.02837680644437E-03,0,0,,0,,172016,172717,0,112,503,0,1.03904645420349,5.73848951852206,0,0.450420117767652,0,0.501374198384276,0,0,,0,,10.375361617164,NA,19.2164825912535,3.93356192415233,82.3167381030883,0.171634236689586,-3.56884965269145E-03
57298,1st Bank Yuma,WESTERN ARIZONA BCORP INC,321691,35654,23677,2357,4570,0.25271852932257,0,0,-1.25497282983823E-02,-4.06636304489265E-02,0,0.316886025633926,0.400833734167068,,0.400833734167068,0,248109,201592,1840,41525,1432,5147,0.218656574009287,0,0,0,0,0,6.02046959662854E-02,0,,0,,10.8409873708381,NA,13.0335516105562,5.19111240097154,64.7468065693431,0.888455269105382,6.99088171344418E-02
32487,1st Cameron State Bank,C&M BANCSHARES INC,56908,17275,16333,249,264,0,0,0,0,0,0,0,0,,0,,24689,23527,265,330,814,2,0.822038655866549,0,,1.11582843457435,0,1.13297225599646,0,0,,0,,8.73926931523258,NA,25.4757605222948,3.13739869177047,84.7058823529412,0.173786917187192,0
58485,1st Capital Bank,,622287,52101,40555,6548,6432,0,0,0,0,0,0,-0.116565876039185,0,,0,0,480842,435457,8069,38745,1,5119,0.556228071975215,0,0,0,0,0,0,0,,0,0,9.55412480271009,NA,14.5536677243384,4.12007382097713,63.6786537761417,0.330117930527005,-1.07318614370735E-02
35456,1st Colonial Community Bank,1ST COLONIAL BCORP INC,543706,12105,11489,5627,5348,0,0.139861840825063,0,6.57542969567873E-02,0.122278751883311,5.17892651642745E-02,1.4983496950293,0.386627245849443,,0.386627245849443,,401897,373334,0,26691,4500,2999,0.67382534525574,0.224341671165497,0,0.70960586156707,0.712341583737348,0.708947780318259,1.57731070398262,0,,0,,7.97738958096358,NA,13.4164050893087,4.3191465215666,60.5878576669112,0.588133649718033,0.178115985708456
11706,1st Community Bank,ILLINOIS HOLDING CO,62612,4951,1285,463,306,0,0,,0,,0,0,0,,0,,46930,31835,10730,3340,1390,98,0,0,,0,,0,0,0,,0,,10.0956143816673,NA,13.9804913884581,4.082295799699,84.0552118039029,0.122224485638623,0
27552,1st Constitution Bank,1ST CONSTITUTION BCORP,1177275,16844,12655,8402,12596,0,0.12590151339475,0,7.31460098851608E-03,0,9.34399794965988E-03,0.018107934814727,0,,0,,877782,655763,2,227956,737,1726,0.742509456275446,0.478323872322889,0,1.64389999693493,0.340290381125227,2.02275933910888,1.39149660460791,0,,0,,11.7364802159791,NA,13.1817823032599,4.78286216477547,64.218907010899,0.664252049751799,6.00607236247622E-02
34393,1st Equity Bank,FIRST EQUITY CORP,100338,14778,11511,1134,1301,,0,0,0,0,0,-1.41610966353234E-02,0,,0,,83182,70363,0,13890,82,0,4.77619019386969,0,0,0,0,0,28.9992800575954,0,,0,,14.7065844440024,NA,19.4254950403776,4.49031251824483,61.1715481171548,0.14631378833272,-2.34169552806405E-03
57611,1st Equity Bank Northwest,NORTHWEST EQUITY CORP,41954,10596,8548,404,412,,0,0,0,0,0,0,0,,0,,30675,28321,0,2669,92,0,0,0,0,0,0,0,0,0,,0,,21.3915475300755,NA,33.6842105263158,4.60057203011103,71.7965653896962,0.34930607651913,0
31410,"1st Federal Savings Bank of SC, Inc.",FIRST CAROLINA BANCSHARES M H C,89513,6258,5037,877,1047,0,0,0,-0.130635255327527,0.51618388291735,-0.172358411482204,-4.59866220735786,0.123594116920035,,0.123594116920035,,71137,70005,0,174,1767,84,0.1596556990143,0,,0.194700753407263,0.675883256528418,0.166636803440244,0,0,,0,,9.66211022358878,NA,18.5997680278367,4.41212754531865,94.9152542372881,1.03090191345453,-9.56285786007148E-02
1673,1st Financial Bank USA,,678900,76170,65926,25972,9144,4.33069161145035E-02,0,,0,,0,0,4.90928154780794,4.9206950374145,0,0,495448,28466,5016,1329,484225,2384,3.02385792643167,0,,0,,0,0,3.23527285869172,3.24011831137403,0.132450331125828,0,23.8157506474521,NA,27.8853665350175,21.5359799093373,74.1626500475854,2.83840938492856,4.64385511311241
6646,1st National Bank,,178829,7508,4273,1184,628,0,0,0,1.86798338740107E-02,0,2.48691262232501E-02,0,1.72479877347643,,1.72479877347643,,129754,125341,0,4372,1175,50,1.20820541019414,0,0,2.25208393216441,0.304878048780488,2.79123541070249,0.343092406221409,0,,0,,8.03339067531207,NA,13.1645967355174,4.23045646021405,91.6403613802112,2.30428043317933,2.38903338116709E-02
57633,1st Security Bank of Washington,FS BCORP INC,1621478,54777,45369,12349,25006,0,0,0,-1.32756193251094E-02,-4.19366337464092E-02,-8.86788543659421E-03,-4.38536865601607E-03,-4.58304689290253E-03,0,-4.59158671044536E-03,0,1363718,923663,443,112144,275363,65824,0.302300577086284,0,0,0.569627145525774,0,0.644959358075745,1.50253245826794,0.159425921420089,0.49438202247191,0.156697347128558,,10.6747746642883,NA,13.5235376803077,5.42591282271914,59.4718474920569,2.11710828595414,-5.26593152937754E-03
9087,1st Source Bank,1ST SOURCE CORP,6289875,104709,9802,100469,86284,0,2.63844953530696E-03,0,3.54232076479951E-02,9.04674080881975E-02,6.26304687972281E-03,0.438223792675517,0.262233963643883,,0.262233963643883,0,4746285,1472654,51877,2940570,136649,245004,0.611068768912142,0.224421778961296,0,0.617550550078762,0.171586912501332,0.843524116311283,0.768320427672186,0.15587380807763,,0.15587380807763,0,10.8232323800132,NA,13.2870228718746,4.55746523063308,59.1038568187547,1.59611493065297,0.291855498464204
57626,1st State Bank,1ST STATE FINANCIAL LTD,283186,62859,56994,2865,2586,0,0.823008151162922,0,-0.21657397300622,-0.283132678435138,-0.180440274269217,-2.28564114519764E-03,-9.89707046714173E-02,0,-0.100421771440048,,195795,101190,0,96553,792,145,1.38765854640628,1.76427003676728,11.986301369863,2.49692496924969,0,4.00526142716212,0.772632647354303,0,0,0,,9.4212990925822,NA,12.0100553863762,4.68353596257125,68.1802663024923,0.490392524941469,0.279245878362389
22543,1st State Bank of Mason City,FIRSTATE BCORP INC,26894,2373,1748,116,233,,0,,1.8854748603352,,1.8854748603352,0,0.720155892569686,,0.720155892569686,,9520,5537,1595,394,2110,0,2.32461602324616,0,,5.07123883120019,,5.07123883120019,0,0.663507109004739,,0.663507109004739,,14.676626395823,NA,34.0807560137457,3.35708256978398,63.677639046538,0.353820524538928,0.970373891001267
