 FDIC Cert, Institution Name, Bank Holding Company, Total Assets, Cash and due from depository institutions, Interest-Bearing bank balances, Loan Loss Allowance, Net Income,  Percent Net Loans Charged-off:Construction & development,  Percent Net Loans Charged-off: Commercial real estate,  Percent Net Loans Charged-off: Multi-family residential,  Percent Net Loans Charged-off: 1-4 family residential,  Percent Net Loans Charged-off: Home equity loans,  All other 1-4 family - Percent of loans charged-off,  Percent Net Loans Charged-off: Commercial and industrial,  Percent Net Loans Charged-off: Loans to individuals,  Percent Net Loans Charged-off: Credit card loans,  Percent Net Loans Charged-off: Other loans to individuals,  Percent Net Loans Charged-off:Coml. RE not secured by RE, Net Loans, All real estate loans,  Farm loans,  Commercial and industrial loans,  Loans to individuals, All Other Loans and Leases,  Noncurrent loans to loans,  Percent Loans Noncurrent: Commercial real estate,  Percent Loans Noncurrent: Multifamily residential,  Percent Loans Noncurrent: 1-4 family residential,  Percent Loans Noncurrent: Home equity loans,  Percent of loans noncurrent - All other family,  Percent Loans noncurrent:Commercial and industrial loans,  Percent Loans Noncurrent: Loans to individuals,  Percent Loans Noncurrent: Credit card loans,  Percent Loans Noncurrent: Other loans to individuals,  Percent Loans Noncurrent:Commercial RE not secured by RE, Tier 1 leverage ratio, Tier 1 Risk-Based ratio, Total risk-based ratio, Yield on Earnings Assets, Efficiency Ratio, Non-Interest Income to Average Assets, Net charge-offs to loans and leases
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
4829,1880 Bank,DELMARVA BANCSHARES INC,377107,57145,54453,1894,3059,0,0,0,0,0,0,0,-0.27547520661157,,-0.27547520661157,0,246327,224417,2768,19246,1546,244,1.36088405090625,2.74822048294478,0,0.317701219203723,0.198980226340007,0.328215520849395,0,0,,0,0,13.6886337115339,NA,20.9582263974303,4.1504538429744,62.5401355690332,0.504100180509594,-2.12809595824571E-03
57899,1st Advantage Bank,BANC INVESTORS LLC,109442,11119,9594,912,501,-0.354616782658806,0,0,0.855636146556227,0,0.934162695018127,0,0,,0,,90688,74847,0,16018,70,665,0.027292576419214,0,0,0.193348801237432,0,0.215331610680448,0,0,,0,,10.3591665143484,NA,13.424753636533,4.92577304853456,78.1642165650771,4.40756283229722E-02,0.102386826379688
22039,1st Bank,1ST UNITED BCORP INC,47377,23042,21319,1038,888,,0,,0,,0,-2.64504775900073,0,,0,,22394,6508,13735,2515,665,10,0,0,,0,,0,0,0,,0,,15.386426385292,NA,32.4715884445216,4.65467762605506,44.0453686200378,0.38652979028509,-0.329462208138378
16419,1st Bank & Trust,SOUTHEASTERN BANCSHARES INC,156919,8719,1081,1150,3552,0,0,,0,0,0,0.578725866980151,0.176467850738622,,0.176467850738622,,92804,58568,3091,6652,24600,1050,0.270324922042124,0.143621236133122,,0.710967864252536,0,0.718069828301525,0,0,,0,,11.5254066194748,NA,22.8811953870563,5.42804369483649,44.1121784939572,1.09577451049152,7.91480933826942E-02
4122,1st Bank in Hominy,,40314,11340,10579,246,270,0,0,,0,,0,-7.12772308103533E-02,0,,0,,18708,7543,2127,6009,3196,79,1.12904927719743,0,,0.842696629213483,,0.842696629213483,2.71259777001165,0.563204005006258,,0.563204005006258,,9.05352852294964,NA,23.36216804791,4.48130146704677,74.6069182389937,0.592074275755565,-2.12568422171441E-02
30367,1st Bank of Sea Isle City,SEA ISLE FINANCIAL CORP MHC,245271,36534,33836,1230,969,0,0,0,0,0,0,0,0,,0,,171513,172123,0,136,504,0,0.892552224724044,5.24039802845717,0,0.325418731572674,0.145687645687646,0.341203766889586,0,0,,0,,10.5782654004208,NA,19.5578113050129,4.26066656630114,81.9177312929945,0.168911095117393,0
57298,1st Bank Yuma,WESTERN ARIZONA BCORP INC,355019,70351,56526,2441,3988,0,0,0,-1.70077333971139E-02,-5.29560123125807E-02,0,0.085219278680666,0.316510385756677,,0.316510385756677,0,240043,204558,1293,31473,1235,5121,6.56598818122127E-02,7.28205392586482E-02,0,0.321763538029712,1.03115401491882,0,0,0,,0,0,9.83163321114143,NA,13.6808066962203,5.2769031276144,63.6440498837455,0.834845659668945,6.64083425541327E-02
32487,1st Cameron State Bank,C&M BANCSHARES INC,57331,14073,12839,250,203,0,0,,0,0,0,0,-0.157089837997054,,-0.157089837997054,,23099,21389,373,683,901,3,0.852284894428027,0,,1.21787025703794,0,1.2538592401235,0,0,,0,,9.74964707564197,NA,27.233676975945,3.2919931628945,80.6184012066365,0.167445928795376,-5.5006961992677E-03
58485,1st Capital Bank,,637456,53476,38958,6582,5352,0,0,0,0,0,0,-0.113870674009834,0,,0,0,487688,439427,10109,38801,27,5906,0,0,0,0,0,0,0,0,,0,0,10.6741024020639,NA,15.3031274320839,4.24222772833457,63.3025193010971,0.326755953854337,-9.31514984323958E-03
35456,1st Colonial Community Bank,1ST COLONIAL BCORP INC,545043,19424,18590,5470,2775,0.151073143095685,-1.97221945662099E-02,3.71927135728743,0.211591351986617,0.183336479960713,0.217926377050604,6.7307092767827,-5.92150113806695E-02,,-5.92150113806695E-02,,416837,392918,0,21735,4682,2972,1.11980147144139,1.67022996863571,8.05901483302927,0.471952429695497,0.504159884246699,0.465223921483427,2.60409477800782,0,,0,,8.46069978651014,NA,14.4265436802657,4.58301398786958,66.1012736874806,0.479296852469255,0.630332811521603
11706,1st Community Bank,ILLINOIS HOLDING CO,64436,7275,5320,472,358,0,0,,0,,0,0,0,,0,,47892,33794,10923,2279,1311,57,2.59076999421057,0,,3.13632129179174,,3.13632129179174,0,0,,0,,10.3995853359721,NA,13.7969266679634,4.37452158071043,82.8451882845188,0.118019592268997,0
27552,1st Constitution Bank,1ST CONSTITUTION BCORP,1342008,20756,12268,8977,10848,0,2.66074281814299E-02,0,0,0,0,0.188498353032358,0,,0,,1022792,706675,48,321969,1166,1911,0.510385561109124,0.6790794348409,0,2.17440642458101,2.14760374950491,2.18103814366759,6.42919038789449E-02,0,,0,,11.4279976702211,NA,12.7872188455992,4.96903599630168,60.2154759859622,0.637673738360684,6.72822616329069E-02
34393,1st Equity Bank,FIRST EQUITY CORP,95211,19382,15913,1135,906,0,0,0,0,0,0,-9.67702133836551E-03,0,,0,,73292,60738,0,13628,69,0,5.82118626989991,2.59400285578296,0,0,0,0,29.3953624889933,0,,0,,15.2305744025863,NA,21.8699481576454,4.72179211469534,62.4538366844481,0.170970415993538,-1.70796851281329E-03
57611,1st Equity Bank Northwest,NORTHWEST EQUITY CORP,40877,7973,5880,404,204,0,0,0,0,0,0,0,0,,0,,32260,29908,0,2673,88,0,1.13257216321283,5.8166954881308,0,0,0,0,0,0,,0,,22.148028756364,NA,29.8070262246413,4.72381072437998,79.0983606557377,0.455617420373294,0
31410,"1st Federal Savings Bank of SC, Inc.",FIRST CAROLINA BANCSHARES M H C,97652,6504,5686,853,360,0,0,,0,0,0,-8.16306122448979,7.82453051643192E-02,,7.82453051643192E-02,,80196,79311,0,120,1548,82,3.82428048013225E-02,0,,4.65892183531463E-02,0,0.049468611368206,0,0,,0,,9.35722794841249,NA,17.385247365601,4.80706683230367,84.8902644907147,1.03883804398962,6.89792539707176E-03
1673,1st Financial Bank USA,,657869,52068,40797,26012,6502,0.36760848717334,0,,0,,0,0,5.19490968661414,5.2031584831495,0,0,479408,42492,6973,1446,452323,2186,3.01115903604923,0,,0,,0,0,3.30913970768676,3.31420017184414,0.266311584553928,0,25.2436755753674,NA,29.8651538655546,21.3945252279446,70.9211242826624,2.76574374327562,4.76534483038584
6646,1st National Bank,,195595,10631,6507,1266,728,0,0,0,0,0,0,0,3.06946762589928,,3.06946762589928,,142275,137039,0,5254,1199,49,1.4546366543357,0,5.28563801388147,2.32798117802452,6.87285223367698E-02,2.89346476062686,0,0,,0,,7.55374544562601,NA,12.9795493656701,4.51636959738885,89.29894010982,2.5957791491361,2.65510717892551E-02
57633,1st Security Bank of Washington,FS BCORP INC,1693877,87055,71111,12765,17284,0,0,0,-2.16111370376199E-03,-2.26362605579573E-02,4.05332895562862E-04,1.8760482081826,0.107913813539233,0,0.108635252566231,0,1391924,922701,303,110853,317760,55214,0.155811181300384,0,0,0.425651939793328,0,0.47791513839386,0,0.16742195367573,5.82750582750583E-02,0.16801458024832,0,11.6307702040402,NA,14.5408375744555,5.88306939238428,63.5355960992181,1.21138793295081,0.176732166563045
9087,1st Source Bank,1ST SOURCE CORP,6672908,133115,38955,108941,73376,0,-1.53773242028188E-02,0,-4.76385714145347E-03,1.50331347970335E-03,-7.67116050997058E-03,0.170887841423282,0.377421595434443,,0.377421595434443,0,5019259,1509890,53114,3209608,139476,216112,0.230938730938731,0.229971208447529,0,0.627210760955258,0.312629411661777,0.761415635894029,0.149831381277714,0.215090768304224,,0.215090768304224,0,10.9670419258396,NA,13.3517957264465,4.78907473627324,56.6259188239054,1.58851787267753,0.117368976867254
57626,1st State Bank,1ST STATE FINANCIAL LTD,291608,64562,54447,2934,2471,0,0.369889983466293,0,-0.190376240451203,-1.58255192878338E-02,-0.281789616000249,0.201840096885669,0.76736690647482,53.332,0.193934545454545,,205985,111426,0,96495,596,416,2.40075813414763,2.84699308479033,9.83606557377049,3.17901762793086,0.255918106206014,4.64742559619464,1.95761438416498,0,,0,,10.01707870785,NA,12.1171349727859,5.05123601869985,63.7092628765293,0.511309819744748,0.212099779125189
22543,1st State Bank of Mason City,FIRSTATE BCORP INC,25319,1712,1354,108,188,,0,,0,,0,0,0.554819245773732,,0.554819245773732,,9222,5191,2049,293,1797,0,3.44051446945338,0,,6.88929792269261,,6.88929792269261,0,3.28324986087924,,3.28324986087924,,15.2041462256686,NA,35.4381558884205,3.53842785601584,71.0323574730354,0.288229147901279,0.113762798634812
8426,1st Summit Bank,1ST SUMMIT BCORP JOHNSTOWN INC,1098294,14206,3082,5360,8316,0,0.681664524421594,0,0.017581881418234,7.21016658905529E-02,1.40424697811173E-02,-2.47893716557436E-02,0.461799876057964,1.57693672383205,0.31712052479644,,558132,420439,542,94277,30278,17956,0.514115550886259,0.570782984576088,1.58997831847748,0.578087400641228,0,0.614982740927325,0.45610276101276,0.350089173657441,0.90221187427241,0.27941286044259,,9.86788169118045,NA,19.1456188542005,3.99106813249293,62.8249295333542,0.498446963460902,0.162422475771979
57869,"1st Trust Bank, Inc.",,271236,38954,30207,1811,748,0,2.42150087078916E-02,0,0.124009725571074,0,0.127999916519707,-6.61801034726332E-02,0.424299887682516,,0.424299887682516,,210498,146013,625,56652,5356,3706,2.23074061341835,2.77117758075247,0,0.686010760953113,0,0.708417668770092,4.02810139094824,1.00821508588499,,1.00821508588499,,8.79147030367342,NA,12.3650234145648,4.32190336009022,81.0706787963611,0.308186458750987,3.24420144132023E-02
