 FDIC Cert, Institution Name, Bank Holding Company, Total Assets, Cash and due from depository institutions, Interest-Bearing bank balances, Loan Loss Allowance, Net Income,  Percent Net Loans Charged-off:Construction & development,  Percent Net Loans Charged-off: Commercial real estate,  Percent Net Loans Charged-off: Multi-family residential,  Percent Net Loans Charged-off: 1-4 family residential,  Percent Net Loans Charged-off: Home equity loans,  All other 1-4 family - Percent of loans charged-off,  Percent Net Loans Charged-off: Commercial and industrial,  Percent Net Loans Charged-off: Loans to individuals,  Percent Net Loans Charged-off: Credit card loans,  Percent Net Loans Charged-off: Other loans to individuals,  Percent Net Loans Charged-off:Coml. RE not secured by RE, Net Loans, All real estate loans,  Farm loans,  Commercial and industrial loans,  Loans to individuals, All Other Loans and Leases,  Noncurrent loans to loans,  Percent Loans Noncurrent: Commercial real estate,  Percent Loans Noncurrent: Multifamily residential,  Percent Loans Noncurrent: 1-4 family residential,  Percent Loans Noncurrent: Home equity loans,  Percent of loans noncurrent - All other family,  Percent Loans noncurrent:Commercial and industrial loans,  Percent Loans Noncurrent: Loans to individuals,  Percent Loans Noncurrent: Credit card loans,  Percent Loans Noncurrent: Other loans to individuals,  Percent Loans Noncurrent:Commercial RE not secured by RE, Tier 1 leverage ratio, Tier 1 Risk-Based ratio, Total risk-based ratio, Yield on Earnings Assets, Efficiency Ratio, Non-Interest Income to Average Assets, Net charge-offs to loans and leases
9735,State Bank of New Richland,NEW RICHLAND BANCSHARES INC,114007,3411,2326,912,1244,0,0,,0,,0,0,-0.535714285714286,,-0.535714285714286,,95473,69730,19949,4769,1749,188,1.17756912382632,13.4099616858238,,1.08695652173913,,1.08695652173913,8.38750262109457E-02,0,,0,,9.04512759263056,NA,11.825715049452,5.33599967705775,41.5621986499518,0.220582960713517,-1.05534585442559E-02
9529,State Bank of Newburg,SBN COMMUNITY BCORP INC,184183,11007,9503,2183,1423,0,0,0,-1.48743120630671E-02,,-1.48743120630671E-02,0,0,0,0,,144414,138912,1871,4315,1391,108,0.65144580039155,0,0,0.188813280490541,,0.188813280490541,0,0.431344356578001,2.14592274678112,8.63557858376511E-02,,19.6856033893976,NA,26.6493789309302,5.05004184484162,44.3569553805774,0.154783750999416,-6.89966053670159E-03
10644,State Bank of Odell,S &S INVESTMENT CO,27895,9472,7129,242,90,,0,,0,,0,0,-0.692121351943708,,-0.692121351943708,,12414,2442,6514,740,2665,295,1.77781289506953,0,,0,,0,7.56756756756757,5.66604127579737,,5.66604127579737,,10.041240150232,NA,18.146335419119,4.16383859931018,82.824427480916,0.404664680130964,-1.48771021992238
14960,State Bank of Reeseville,RW BCORP LTD,100001,1081,821,479,400,0,0,0,0.357680722891566,0,0.377483443708609,0,0,,0,,43993,28104,6792,7319,1926,331,8.99442345745638E-03,0,0,0,0,0,0,0.207684319833853,,0.207684319833853,,9.96187686330726,NA,19.7091293454432,3.9930284003307,69.281045751634,0.167717624508555,8.73784175308699E-02
12391,State Bank of Saunemin,,35417,4277,3284,282,200,,0,0,0,,0,0,0,,0,,20311,9598,5024,4750,850,370,0,0,0,0,,0,0,0,,0,,11.7379877735245,NA,16.1273735630073,3.86579712422409,63.8938053097345,0.106261010598138,0
13931,State Bank of Schaller,CENTURY BANCSHARES INC,30535,3864,2320,440,188,,,,0,,0,0,0,,0,,8340,3378,3567,1211,624,0,5.48974943052392,,,0,,0,0,14.1025641025641,,14.1025641025641,,15.1052195526098,NA,30.5198973042362,3.68361664179376,62.2413793103448,1.01691557619713,2.15184879675788E-02
14069,State Bank of Scotia,,46857,6312,5368,607,330,,0,,0.686801091837633,,0.686801091837633,0,13.8739309471017,,13.8739309471017,,36169,18965,14572,2257,982,0,1.68860126169241,0,,0.667522464698331,,0.667522464698331,2.79131590607,2.44399185336049,,2.44399185336049,,22.6031427761916,NA,28.2321419280995,4.90414837208186,43.1506849315069,0.218330680009097,0.48559221546743
17964,State Bank of Southern Utah,SOUTHERN UTAH BCORP,1213523,84938,70706,9312,10483,-8.4518549473872E-03,0,0,-4.35993146493697E-02,-7.27954111929685E-02,-5.30452387477787E-03,7.86947795155104E-02,0.202782628288177,1.20507399577167,0.105091800778916,,790042,628950,39812,86804,40180,3608,1.31118378090308,0.260862376725687,0,0.336817024963448,0.26529431711647,0.421780958248424,2.23492004976729,4.23344947735192,0.294695481335953,4.55745299789905,,13.3879813676119,NA,18.3201950850563,5.20081869710151,51.9427331279754,0.690649957701848,1.07144163779001E-02
26358,State Bank of Southwest Missouri,STATE BANCSHARES INC,124413,16332,11666,358,702,0,0,0,0,0,0,0,-4.03293564106873,,-4.03293564106873,,95476,84685,0,5065,6037,47,0.51234426195296,0,0,0.780922938202428,0,0.992936841027741,0,0.099387112804373,,0.099387112804373,,7.27420827882408,NA,10.8656878609986,4.24202507445984,76.3990267639903,0.674451598821347,-0.249196169301109
5730,State Bank of St. Jacob,ST JACOB BANCSHARES INC,65979,13838,11745,685,589,0,0,0,0,,0,0,-0.225846925972397,,-0.225846925972396,,26724,17525,686,3341,5845,12,1.43383560144478,0,0,0.406988286678579,,0.406988286678579,5.56719545046393,2.84003421727973,,2.84003421727973,,16.3191268352429,NA,32.682664756447,3.71308650987043,44.5581395348837,0.189920917338452,-4.37418743393154E-02
